Product ID / User ID,AirPods_Model_1,AirPods_Model_2,AirPods_Model_3,AirPods_Model_4,AirPods_Model_5,AirPods_Model_6,AirPods_Model_7,AirPods_Model_8,AirPods_Model_9,AirPods_Model_10,AirPods_Model_11,AirPods_Model_12,AirPods_Model_13,AirPods_Model_14,AirPods_Model_15,AirPods_Model_16,AirPods_Model_17,AirPods_Model_18,AirPods_Model_19,AirPods_Model_20
OCLU3N55,3,0,5,4,2,0,1,1,2,2,5,5,0,1,4,4,4,3,2,1
PGBMY6C8,0,3,1,4,0,0,4,5,0,5,0,5,5,4,0,0,2,5,5,0
4Q472AVO,0,5,2,3,4,0,0,0,3,5,2,2,3,2,0,1,4,4,5,4
ALGWAQY1,1,3,3,1,2,5,1,3,2,3,1,3,5,1,2,0,0,4,1,0
XU4QPT02,5,0,3,1,1,5,5,3,2,5,1,3,4,2,5,0,1,5,2,1
K9N9UEWH,0,4,2,1,5,2,4,2,1,1,4,4,2,3,3,0,2,3,1,2
HAFFFCPE,0,4,0,0,2,4,5,4,3,1,1,0,3,5,3,1,5,0,5,1
7W06528C,0,0,4,1,5,2,3,1,5,0,0,5,1,2,2,0,3,5,4,5
3LZQR68M,0,1,2,3,1,0,5,2,0,3,3,1,1,5,0,3,0,0,3,0
VGE1F14S,1,5,5,2,5,0,0,2,0,5,1,0,2,2,4,1,3,2,2,4
4MH9KG58,0,0,4,4,5,0,5,1,1,0,4,4,3,4,0,1,2,1,3,3
S5U3JV2S,5,4,2,5,4,3,4,4,1,4,2,0,0,4,1,4,0,0,4,3
A1NDO73T,5,2,5,1,2,4,3,5,3,3,3,2,1,5,5,3,4,4,1,4
SPESN8YC,1,4,4,3,3,3,0,4,0,2,4,0,1,5,2,1,2,4,0,5
KK8321TI,1,0,1,4,4,4,0,3,4,2,1,4,3,3,1,4,0,1,0,4
UW95LDGN,0,1,3,4,2,0,4,4,4,4,0,4,2,0,4,0,5,2,2,3
AFI3VXCD,2,2,4,3,1,3,3,2,1,1,4,0,5,0,3,4,2,2,2,1
ZFJN8X77,2,5,1,5,4,5,1,1,0,2,3,1,1,4,4,3,5,5,3,2
DW9N1GH2,5,4,4,1,4,3,5,4,3,3,5,1,1,4,0,0,3,5,0,2
W7LLW20B,3,4,0,4,0,2,5,5,3,3,4,4,4,1,4,0,3,0,5,3
SAJN4FNL,4,1,5,5,4,1,0,3,0,0,2,3,1,0,4,3,1,3,4,5
7S5C1N9B,1,4,4,5,4,2,5,1,1,1,5,2,5,3,2,4,4,3,2,0
GTNUJX77,5,2,1,3,1,3,3,5,3,1,1,2,0,1,0,5,0,4,3,2
MR15HYF2,4,3,2,3,0,3,2,3,3,1,3,0,1,3,2,4,2,0,5,4
BCIQ5KZ2,2,5,2,2,1,0,0,0,0,1,3,3,1,2,4,3,1,2,1,5
2QT4U5BG,3,3,3,1,4,4,0,2,1,5,4,0,0,5,3,5,0,0,2,2
XI8DSYV3,3,1,3,1,2,2,1,4,5,3,4,0,4,5,1,2,0,4,1,2
BUX8YJ3M,1,5,3,4,2,1,3,5,3,3,2,1,0,3,0,3,1,4,2,3
ISQNESIY,4,4,3,0,0,5,1,2,0,0,2,3,2,0,1,4,2,0,4,0
